timestamp,battery_id,state,speed_kph,voltage_V,current_A,soc_percent,state_of_health,ambient_temp_C
2024-01-15 06:00:00,KF-A100,in_use,38.97,50.76,21.05,99.94,,26.53
2024-01-15 06:00:30,KF-A100,in_use,31.24,50.31,17.07,99.88,91.48,23.17
2024-01-15 06:01:00,KF-A100,in_use,46.73,50.53,15.15,99.82,89.91,27.22
2024-01-15 06:01:30,KF-A100,in_use,,50.26,21.7,99.76,90.97,24.88
2024-01-15 06:02:00,KF-A100,in_use,24.37,50.8,18.34,99.7,90.77,26.4
2024-01-15 06:02:30,KF-A100,in_use,37.59,50.23,19.22,99.64,93.06,28.86
2024-01-15 06:03:00,KF-A100,in_use,31.17,50.06,15.61,99.58,92.63,29.71
2024-01-15 06:03:30,KF-A100,in_use,34.71,49.45,19.64,99.51,91.17,26.4
2024-01-15 06:04:00,KF-A100,in_use,28.53,50.87,18.66,99.45,89.94,28.03
2024-01-15 06:04:30,KF-A100,in_use,31.86,50.62,18.52,99.41,91.01,26.53
2024-01-15 06:05:00,KF-A100,in_use,50.09,,17.85,99.35,87.16,26.95
2024-01-15 06:05:30,KF-A100,in_use,33.46,50.49,15.66,99.28,93.29,28.5
2024-01-15 06:06:00,KF-A100,in_use,27.08,50.54,16.99,99.23,87.9,27.14
2024-01-15 06:06:30,KF-A100,in_use,28.73,50.83,15.54,99.17,91.45,29.61
2024-01-15 06:07:00,KF-A100,in_use,25.1,50.71,18.59,99.13,91.5,
2024-01-15 06:07:30,KF-A100,in_use,37.34,51.25,18.95,99.07,88.62,28.31
2024-01-15 06:08:00,KF-A100,in_use,41.58,50.4,16.49,98.99,89.22,25.37
2024-01-15 06:08:30,KF-A100,in_use,32.88,50.75,16.29,98.91,,27.96
2024-01-15 06:09:00,KF-A100,in_use,38.79,50.16,14.97,98.85,90.11,28.71
2024-01-15 06:09:30,KF-A100,in_use,35.47,50.64,19.12,98.8,93.17,29.11
2024-01-15 06:10:00,KF-A100,in_use,39.12,50.73,20.27,98.7,92.91,
2024-01-15 06:10:30,KF-A100,in_use,53.52,50.77,14.77,98.66,90.06,29.18
2024-01-15 06:11:00,KF-A100,in_use,35.36,51.36,19.27,98.61,,27.37
2024-01-15 06:11:30,KF-A100,in_use,39.04,50.02,17.33,98.54,90.05,25.69
2024-01-15 06:12:00,KF-A100,in_use,,49.89,,,93.53,25.58
2024-01-15 06:12:30,KF-A100,in_use,27.58,49.2,15.95,,90.49,24.5
2024-01-15 06:13:00,KF-A100,in_use,,50.11,18.92,98.35,91.4,25.8
2024-01-15 06:13:30,KF-A100,in_use,52.06,50.44,19.18,,91.56,25.75
2024-01-15 06:14:00,KF-A100,in_use,37.86,50.86,18.61,98.25,92.63,28.26
2024-01-15 06:14:30,KF-A100,in_use,45.22,50.72,17.6,98.2,90.56,29.2
2024-01-15 06:15:00,KF-A100,in_use,40.46,50.63,17.74,98.14,91.19,28.19
2024-01-15 06:15:30,KF-A100,in_use,39.99,50.5,16.21,98.08,91.15,25.65
2024-01-15 06:16:00,KF-A100,in_use,28.42,50.6,16.99,98.01,90.06,27.46
2024-01-15 06:16:30,KF-A100,in_use,29.25,50.62,,97.96,92.72,26.68
2024-01-15 06:17:00,KF-A100,in_use,37.58,50.71,21.07,97.9,,27.8
2024-01-15 06:17:30,KF-A100,in_use,36.79,50.54,16.45,97.84,91.05,28.0
2024-01-15 06:18:00,KF-A100,in_use,52.52,50.16,16.8,97.79,86.75,25.95
2024-01-15 06:18:30,KF-A100,in_use,42.6,50.14,,,88.36,30.66
2024-01-15 06:19:00,KF-A100,in_use,21.29,50.45,20.48,97.66,87.81,25.8
2024-01-15 06:19:30,KF-A100,in_use,31.4,50.07,17.72,97.6,91.24,28.03
2024-01-15 06:20:00,KF-A100,in_use,47.41,50.97,18.14,,95.12,30.51
2024-01-15 06:20:30,KF-A100,in_use,27.28,50.92,14.48,97.47,88.63,22.92
2024-01-15 06:21:00,KF-A100,in_use,21.37,50.65,17.93,97.41,86.87,26.82
2024-01-15 06:21:30,KF-A100,in_use,37.93,50.29,15.88,,90.87,28.91
2024-01-15 06:22:00,KF-A100,in_use,,50.28,15.6,97.31,94.93,27.07
2024-01-15 06:22:30,KF-A100,in_use,34.1,50.75,19.52,97.25,89.94,25.85
2024-01-15 06:23:00,KF-A100,in_use,39.61,51.73,20.24,97.19,,25.09
2024-01-15 06:23:30,KF-A100,in_use,29.83,51.17,19.76,97.14,90.98,29.96
2024-01-15 06:24:00,KF-A100,in_use,28.0,50.87,21.82,97.09,88.2,28.13
2024-01-15 06:24:30,KF-A100,in_use,35.39,50.61,17.9,97.04,90.52,25.18
2024-01-15 06:25:00,KF-A100,in_use,35.79,49.83,19.09,96.98,89.67,28.14
2024-01-15 06:25:30,KF-A100,in_use,40.11,50.47,15.58,96.93,89.7,27.09
2024-01-15 06:26:00,KF-A100,in_use,41.69,50.71,20.88,96.88,86.06,25.41
2024-01-15 06:26:30,KF-A100,in_use,35.69,50.97,18.51,96.82,91.68,26.18
2024-01-15 06:27:00,KF-A100,in_use,41.97,50.98,17.18,96.77,86.92,24.98
2024-01-15 06:27:30,KF-A100,in_use,41.64,50.59,19.54,96.73,88.04,29.29
2024-01-15 06:28:00,KF-A100,in_use,31.33,50.83,16.29,96.68,91.14,26.04
2024-01-15 06:28:30,KF-A100,in_use,32.84,50.32,18.75,96.63,92.51,25.16
2024-01-15 06:29:00,KF-A100,in_use,20.77,50.76,,96.55,91.56,24.75
2024-01-15 06:29:30,KF-A100,in_use,38.85,50.18,18.94,96.49,94.76,29.69
2024-01-15 06:30:00,KF-A100,in_use,35.45,,21.06,96.42,90.68,26.15
2024-01-15 06:30:30,KF-A100,in_use,24.68,50.37,21.34,96.37,90.48,23.99
2024-01-15 06:31:00,KF-A100,in_use,49.79,50.39,15.79,96.3,96.15,27.12
2024-01-15 06:31:30,KF-A100,in_use,34.74,50.21,18.21,96.25,90.49,30.01
