battery_id,drain_rate_pct_per_hr,ride_duration_min,soc_at_shutdown,voltage_std_inuse,soh_pct,temp_mean,cluster,flagged
KF-I108,22.26,299.5,0.0,1.8,68.2,26.9,1,True
KF-J109,22.23,299.5,0.0,1.76,67.83,27.0,1,True
KF-B101,22.16,299.5,0.0,1.83,68.05,27.1,1,True
KF-L111,21.98,299.5,0.0,1.91,67.81,27.1,1,True
KF-F105,7.28,299.5,63.78,0.39,90.94,26.9,0,False
KF-D103,7.27,299.5,63.78,0.42,91.05,27.0,0,False
KF-C102,7.21,299.5,63.98,0.43,91.0,26.9,0,False
KF-K110,7.21,299.5,63.97,0.42,91.02,26.9,0,False
KF-G106,7.18,299.5,64.16,0.4,90.97,27.1,0,False
KF-A100,7.16,299.5,64.19,0.39,91.06,27.1,0,False
KF-E104,7.15,299.5,64.23,0.37,90.99,27.0,0,False
KF-H107,7.14,299.5,64.18,0.41,91.05,27.0,0,False
